Α Alpha
α alpha
Β Beta
β beta
ϐ vbeta
Γ Gamma
γ gamma
Δ Delta
δ delta
Ε Epsi
ε epsi
ϵ vepsi
Ζ Zeta
ζ zeta
Η Eta
η eta
Θ Theta
θ theta
ϑ vtheta
Ι Iota
ι iota
Κ Kappa
κ kappa
ϰ vkappa
Λ Lambda
λ lambda
Μ Mu
μ mu
Ν Nu
ν nu
Ξ Xi
ξ xi
Ο Omicron
ο omicron
Π Pi
π pi
ϖ vpi
Ρ Rho
ρ rho
ϱ vrho
Σ Sigma
σ sigma
ς vsigma
Τ Tau
τ tau
Υ Upsi
υ upsi
ϒ VUpsi
Φ Phi
φ phi
ϕ vphi
Χ Chi
χ chi
Ψ Psi
ψ psi
Ω Omega
ω omega
Ϝ Digamma
ϝ digamma
Ϟ Koppa
ϟ koppa
Ϙ VKoppa
ϙ vkoppa
Ϡ Sampi
ϡ sampi
Ͳ VSampi
ͳ vsampi
Ϸ Sho
ϸ sho
Ϻ San
ϻ san
Ϗ Kai
ϗ kai
Ϛ Stigma
ϛ stigma
